r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
am | name,"PEACE, doubting Heart — my GOD's I am! ",o3900-l17760," The LORD hath call'd me by my Name,",o3900-l17770,/æm/ | /eɪm/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
wave | save, Upborn by the unyielding Wave;,o3900-l17895, (Good as Thou art and strong to save),o3900-l17885,/eɪv/ | /eɪv/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
near | despair," Dauntless, tho' Rocks of Pride be near,",o3900-l17900, And yawning Whirlpools of Despair. ,o3900-l17905,/ɪə/ | /eə/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
despair | near, And yawning Whirlpools of Despair. ,o3900-l17905," Dauntless, tho' Rocks of Pride be near,",o3900-l17900,/eə/ | /ɪə/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
skies | rise,"When Darkness intercepts the Skies,",o3900-l17910,"When high the Storms of Passion rise,",o3900-l17920,/aɪz/ | /aɪz/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
roll | soul, And Sorrow's Waves around me roll. ,o3900-l17915, And half o'erwhelm my sinking Soul;,o3900-l17925,/əʊl/ | /əʊl/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
rise | skies,"When high the Storms of Passion rise,",o3900-l17920,"When Darkness intercepts the Skies,",o3900-l17910,/aɪz/ | /aɪz/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
soul | roll, And half o'erwhelm my sinking Soul;,o3900-l17925, And Sorrow's Waves around me roll. ,o3900-l17915,/əʊl/ | /əʊl/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
feel | still, My Soul a sudden Calm shall feel,o3900-l17930," And hear a Whisper ""Peace, be still."" ",o3900-l17935,/iːl/ | /ɪl/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
still | feel," And hear a Whisper ""Peace, be still."" ",o3900-l17935, My Soul a sudden Calm shall feel,o3900-l17930,/ɪl/ | /iːl/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
tried | wide,"Tho' in Affliction's Furnace tried,",o3900-l17940," Tho' Sin assail, and Hell thrown wide",o3900-l17950,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
tread | head, Unhurt on Snares and Deaths I'll tread;,o3900-l17945," Pour all its Flames upon my Head,",o3900-l17955,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
wide | tried," Tho' Sin assail, and Hell thrown wide",o3900-l17950,"Tho' in Affliction's Furnace tried,",o3900-l17940,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
head | tread," Pour all its Flames upon my Head,",o3900-l17955, Unhurt on Snares and Deaths I'll tread;,o3900-l17945,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
higher | fire," Like Moses' Bush I'll mount the higher,",o3900-l17960, And flourish unconsum'd in Fire. ,o3900-l17965,/aɪə/ | /æə/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
fire | higher, And flourish unconsum'd in Fire. ,o3900-l17965," Like Moses' Bush I'll mount the higher,",o3900-l17960,/æə/ | /aɪə/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
who | true,WHO hath believ'd the Tidings? Who? ,o3900-l10245,"Gladly confess'd our Record true,",o3900-l10255,/uː/ | /uː/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
impart | heart,Or felt the Joys our Words impart? ,o3900-l10250, And found the Saviour in his Heart? ,o3900-l10260,/ɑːt/ | /ɑːt/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
true | who,"Gladly confess'd our Record true,",o3900-l10255,WHO hath believ'd the Tidings? Who? ,o3900-l10245,/uː/ | /uː/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
heart | impart, And found the Saviour in his Heart? ,o3900-l10260,Or felt the Joys our Words impart? ,o3900-l10250,/ɑːt/ | /ɑːt/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
ground | found,"Planted in Nature's barren Ground,",o3900-l10265," There shall th' Immortal Seed be found,",o3900-l10275,/aʊnd/ | /aʊnd/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
care | there," And cherish'd by JEHOVAH's Care,",o3900-l10270, The Root Divine shall flourish there! ,o3900-l10280,/eə/ | /eə/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
found | ground," There shall th' Immortal Seed be found,",o3900-l10275,"Planted in Nature's barren Ground,",o3900-l10265,/aʊnd/ | /aʊnd/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
there | care, The Root Divine shall flourish there! ,o3900-l10280," And cherish'd by JEHOVAH's Care,",o3900-l10270,/eə/ | /eə/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
comes | assumes,See the Desire of Nations comes;,o3900-l10285," A Veil of Flesh the GOD assumes,",o3900-l10295,/ʌmz/ | /uːmz/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
near | wear," Nor outward Pomp bespeaks Him near,",o3900-l10290, A Servant's Form he stoops to wear;,o3900-l10300,/ɪə/ | /eə/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
assumes | comes," A Veil of Flesh the GOD assumes,",o3900-l10295,See the Desire of Nations comes;,o3900-l10285,/uːmz/ | /ʌmz/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
wear | near, A Servant's Form he stoops to wear;,o3900-l10300," Nor outward Pomp bespeaks Him near,",o3900-l10290,/eə/ | /ɪə/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
by | eye, He lays his every Glory by;,o3900-l10305," Of Beauty void, in Reason's Eye,",o3900-l10315,/aɪ/ | /aɪ/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
mean | seen," Ignobly low, obscurely mean,",o3900-l10310, The Source of Loveliness is seen. ,o3900-l10320,/iːn/ | /iːn/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
eye | by," Of Beauty void, in Reason's Eye,",o3900-l10315, He lays his every Glory by;,o3900-l10305,/aɪ/ | /aɪ/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
seen | mean, The Source of Loveliness is seen. ,o3900-l10320," Ignobly low, obscurely mean,",o3900-l10310,/iːn/ | /iːn/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
men | pain,"Rejected and despis'd of Men,",o3900-l10325," His only Intimate is Pain,",o3900-l10335,/en/ | /eɪn/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
woe | below," A Man of Griefs, inur'd to Woe;",o3900-l10330, And Grief is all his Life below. ,o3900-l10340,/əʊ/ | /əʊ/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
pain | men," His only Intimate is Pain,",o3900-l10335,"Rejected and despis'd of Men,",o3900-l10325,/eɪn/ | /en/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
below | woe, And Grief is all his Life below. ,o3900-l10340," A Man of Griefs, inur'd to Woe;",o3900-l10330,/əʊ/ | /əʊ/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
sight | despite,"We saw, and from the irksome Sight",o3900-l10345," Hell follow'd Him with fierce Despight,",o3900-l10355,/aɪt/ | /aɪt/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
turned | scorned, Disdainfully our Faces turn'd;,o3900-l10350, And Earth the humble Object scorn'd. ,o3900-l10360,/ɜːnd/ | /ɔːnd/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
despite | sight," Hell follow'd Him with fierce Despight,",o3900-l10355,"We saw, and from the irksome Sight",o3900-l10345,/aɪt/ | /aɪt/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
scorned | turned, And Earth the humble Object scorn'd. ,o3900-l10360, Disdainfully our Faces turn'd;,o3900-l10350,/ɔːnd/ | /ɜːnd/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
was | cause,"Surely for Us He humbled was,",o3900-l10365," Of all his Woes were We the Cause,",o3900-l10375,/ɒz/ | /ɔːz/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
own | unknown, And griev'd with Sorrows not his own:,o3900-l10370, We fill'd his Soul with Pangs unknown. ,o3900-l10380,/əʊn/ | /əʊn/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
cause | was," Of all his Woes were We the Cause,",o3900-l10375,"Surely for Us He humbled was,",o3900-l10365,/ɔːz/ | /ɒz/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
unknown | own, We fill'd his Soul with Pangs unknown. ,o3900-l10380, And griev'd with Sorrows not his own:,o3900-l10370,/əʊn/ | /əʊn/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
esteemed | deemed,"Yet Him th' Offender we esteem'd,",o3900-l10385," Afflicted for Himself we deem'd,",o3900-l10395,/iːmd/ | /iːmd/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
rod | god," Stricken by Heaven's vindictive Rod,",o3900-l10390, And punish'd by an Angry GOD. ,o3900-l10400,/ɒd/ | /ɒd/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
deemed | esteemed," Afflicted for Himself we deem'd,",o3900-l10395,"Yet Him th' Offender we esteem'd,",o3900-l10385,/iːmd/ | /iːmd/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
god | rod, And punish'd by an Angry GOD. ,o3900-l10400," Stricken by Heaven's vindictive Rod,",o3900-l10390,/ɒd/ | /ɒd/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
stained | pained,"But O! with our Transgressions stain'd,",o3900-l10405, Ours were the Sins that bruis'd and pain'd,o3900-l10415,/eɪnd/ | /eɪnd/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
was | cross, For our Offence He wounded was;,o3900-l10410," And scourg'd, and nail'd Him to the Cross. ",o3900-l10420,/ɒz/ | /ɒs/,half-vowelrhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
pained | stained, Ours were the Sins that bruis'd and pain'd,o3900-l10415,"But O! with our Transgressions stain'd,",o3900-l10405,/eɪnd/ | /eɪnd/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
cross | was," And scourg'd, and nail'd Him to the Cross. ",o3900-l10420, For our Offence He wounded was;,o3900-l10410,/ɒs/ | /ɒz/,half-vowelrhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
peace | cease,"The Chastisement that bought our Peace,",o3900-l10425, Conscience be still! thy Terrors cease! ,o3900-l10435,/iːs/ | /iːs/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
laid | paid," To Sinners due, on him was laid:",o3900-l10430,"The Debt's discharg'd, the Ransom's paid. ",o3900-l10440,/eɪd/ | /eɪd/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
cease | peace, Conscience be still! thy Terrors cease! ,o3900-l10435,"The Chastisement that bought our Peace,",o3900-l10425,/iːs/ | /iːs/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
paid | laid,"The Debt's discharg'd, the Ransom's paid. ",o3900-l10440," To Sinners due, on him was laid:",o3900-l10430,/eɪd/ | /eɪd/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
sheep | keep,What tho' we All as wandring Sheep,o3900-l10445," Refus'd his mild Commands to keep,",o3900-l10455,/iːp/ | /iːp/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
stray | way," Have left our GOD, and lov'd to stray,",o3900-l10450, And madly urg'd the downward Way;,o3900-l10460,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
keep | sheep," Refus'd his mild Commands to keep,",o3900-l10455,What tho' we All as wandring Sheep,o3900-l10445,/iːp/ | /iːp/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
way | stray, And madly urg'd the downward Way;,o3900-l10460," Have left our GOD, and lov'd to stray,",o3900-l10450,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
fall | all," Father, on Him thy Bolt did fall,",o3900-l10465," Thou laid'st on Him the Guilt of All,",o3900-l10475,/ɔːl/ | /ɔːl/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
fulfilled | healed," The Mortal Law thy Son fulfill'd,",o3900-l10470, And by his Stripes we All are heal'd. ,o3900-l10480,/ɪld/ | /iːld/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
all | fall," Thou laid'st on Him the Guilt of All,",o3900-l10475," Father, on Him thy Bolt did fall,",o3900-l10465,/ɔːl/ | /ɔːl/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
healed | fulfilled, And by his Stripes we All are heal'd. ,o3900-l10480," The Mortal Law thy Son fulfill'd,",o3900-l10470,/iːld/ | /ɪld/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
not | spot,"Accus'd his Mouth He open'd not,",o3900-l10485, Pure tho' He was from sinful Spot,o3900-l10495,/ɒt/ | /ɒt/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
oppressed | confessed, He answer'd not by Wrongs opprest;,o3900-l10490, What Guilt He Silently confest! ,o3900-l10500,/est/ | /est/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
spot | not, Pure tho' He was from sinful Spot,o3900-l10495,"Accus'd his Mouth He open'd not,",o3900-l10485,/ɒt/ | /ɒt/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
confessed | oppressed, What Guilt He Silently confest! ,o3900-l10500, He answer'd not by Wrongs opprest;,o3900-l10490,/est/ | /est/,full,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
led | stead,"Meek as a Lamb to Slaughter led,",o3900-l10505, To suffer in the Sinner's stead,o3900-l10515,/ed/ | /ed/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
dumb | come, A Sheep before his Shearers dumb,o3900-l10510, Behold the Spotless Victim come! ,o3900-l10520,/ʌm/ | /ʌm/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
stead | led, To suffer in the Sinner's stead,o3900-l10515,"Meek as a Lamb to Slaughter led,",o3900-l10505,/ed/ | /ed/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
come | dumb, Behold the Spotless Victim come! ,o3900-l10520, A Sheep before his Shearers dumb,o3900-l10510,/ʌm/ | /ʌm/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
declare | bar,Who could his Heavenly Birth declare,o3900-l10525," When Worms arraign'd Him at their Bar,",o3900-l10535,/eə/ | /ɑː/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
stood | god," When bound by Man he silent stood,",o3900-l10530, And doom'd to Death th' Eternal GOD! ,o3900-l10540,/ʊd/ | /ɒd/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
bar | declare," When Worms arraign'd Him at their Bar,",o3900-l10535,Who could his Heavenly Birth declare,o3900-l10525,/ɑː/ | /eə/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
god | stood, And doom'd to Death th' Eternal GOD! ,o3900-l10540," When bound by Man he silent stood,",o3900-l10530,/ɒd/ | /ʊd/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
sustain | man,Patient the Sufferings to sustain,o3900-l10545, Guiltless He groan'd and died for Man:,o3900-l10555,/eɪn/ | /æn/,half-pararhyme,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
due | you," The Vengeance to Transgressors due,",o3900-l10550," Sinners rejoice, He died for you! ",o3900-l10560,/uː/ | /uː/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
man | sustain, Guiltless He groan'd and died for Man:,o3900-l10555,Patient the Sufferings to sustain,o3900-l10545,/æn/ | /eɪn/,half-pararhyme,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
you | due," Sinners rejoice, He died for you! ",o3900-l10560," The Vengeance to Transgressors due,",o3900-l10550,/uː/ | /uː/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
bled | dead,"For your imputed Guilt he bled,",o3900-l10565, Meekly he sunk among the Dead:,o3900-l10575,/ed/ | /ed/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
save | grave, Made Sin a sinful World to save;,o3900-l10570, The Rich supplied an Honour'd Grave? ,o3900-l10580,/eɪv/ | /ɑːv/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
dead | bled, Meekly he sunk among the Dead:,o3900-l10575,"For your imputed Guilt he bled,",o3900-l10565,/ed/ | /ed/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
grave | save, The Rich supplied an Honour'd Grave? ,o3900-l10580, Made Sin a sinful World to save;,o3900-l10570,/ɑːv/ | /eɪv/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
free | he,"For O! devoid of Sin, and free",o3900-l10585," No Sinner in Himself was He,",o3900-l10595,/iː/ | /iː/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
offence | innocence," From Actual or Intail'd Offence,",o3900-l10590, But pure and perfect Innocence. ,o3900-l10600,/ens/ | /ɪnəsns/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
he | free," No Sinner in Himself was He,",o3900-l10595,"For O! devoid of Sin, and free",o3900-l10585,/iː/ | /iː/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
innocence | offence, But pure and perfect Innocence. ,o3900-l10600," From Actual or Intail'd Offence,",o3900-l10590,/ɪnəsns/ | /ens/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
will | feel,"Yet Him th' Almighty Father's Will,",o3900-l10605," Doom'd Him the Weight of Sin to feel,",o3900-l10615,/ɪl/ | /iːl/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
pursued | blood," With bruising Chastisements pursu'd,",o3900-l10610, And sternly just requir'd his Blood. ,o3900-l10620,/uːd/ | /ʌd/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
feel | will," Doom'd Him the Weight of Sin to feel,",o3900-l10615,"Yet Him th' Almighty Father's Will,",o3900-l10605,/iːl/ | /ɪl/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
blood | pursued, And sternly just requir'd his Blood. ,o3900-l10620," With bruising Chastisements pursu'd,",o3900-l10610,/ʌd/ | /uːd/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
paid | made,"But lo! the Mortal Debt is paid,",o3900-l10625, His Soul for Sin an Offering made,o3900-l10635,/eɪd/ | /eɪd/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
over | more," The costly Sacrifice is o'er,",o3900-l10630," Revives, and He shall die no more. ",o3900-l10640,/ɔːə/ | /ɔː/,half-vowelrhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
made | paid, His Soul for Sin an Offering made,o3900-l10635,"But lo! the Mortal Debt is paid,",o3900-l10625,/eɪd/ | /eɪd/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
more | over," Revives, and He shall die no more. ",o3900-l10640," The costly Sacrifice is o'er,",o3900-l10630,/ɔː/ | /ɔːə/,half-vowelrhyme,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
see | immortality,"His numerous Seed He now shall see,",o3900-l10645," Blest with His Immortality,",o3900-l10655,/iː/ | /æləti/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
abroad | god," Scatter'd thro' all the Earth abroad,",o3900-l10650," Begot by Him, and born of GOD. ",o3900-l10660,/ɔːd/ | /ɒd/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
immortality | see," Blest with His Immortality,",o3900-l10655,"His numerous Seed He now shall see,",o3900-l10645,/æləti/ | /iː/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
god | abroad," Begot by Him, and born of GOD. ",o3900-l10660," Scatter'd thro' all the Earth abroad,",o3900-l10650,/ɒd/ | /ɔːd/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
below | know,Head to his Church o'er all below,o3900-l10665," Their bounding Hearts his Power shall know,",o3900-l10675,/əʊ/ | /əʊ/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
sustain | reign, Long shall He here his Sons sustain;,o3900-l10670, And bless the lov'd Messiah's Reign. ,o3900-l10680,/eɪn/ | /eɪn/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
know | below," Their bounding Hearts his Power shall know,",o3900-l10675,Head to his Church o'er all below,o3900-l10665,/əʊ/ | /əʊ/,full,abab<b>c</b>d<b>c</b>d,pers00309,o3900-w0580
reign | sustain, And bless the lov'd Messiah's Reign. ,o3900-l10680, Long shall He here his Sons sustain;,o3900-l10670,/eɪn/ | /eɪn/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
stand | hand,'Twixt GOD and Them He still shall stand,o3900-l10685, Their Cause shall prosper in his Hand,o3900-l10695,/ænd/ | /ænd/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
