r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
powers | bowers,"HITHER, all ye heav'nly pow'rs,",o5153-l11605,From your empyreal bow'rs;,o5153-l11610,/aʊəz/ | /aʊəz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
powers | bowers,"Hither, all ye heav'nly pow'rs!",o5153-l11685,From your empyreal bow'rs!,o5153-l11690,/aʊəz/ | /aʊəz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
bowers | powers,From your empyreal bow'rs!,o5153-l11690,"Hither, all ye heav'nly pow'rs!",o5153-l11685,/aʊəz/ | /aʊəz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
divine | shine,"Chiefly ye, whose brows divine",o5153-l11695,Crown'd with starry circlets shine;,o5153-l11700,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
shine | divine,Crown'd with starry circlets shine;,o5153-l11700,"Chiefly ye, whose brows divine",o5153-l11695,/aɪn/ | /aɪn/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
tried | pride,"Who in various labours try'd,",o5153-l11705,"Once Britannia's strength and pride,",o5153-l11710,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
pride | tried,"Once Britannia's strength and pride,",o5153-l11710,"Who in various labours try'd,",o5153-l11705,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
rest | blessed,Now in everlasting rest,o5153-l11715,Share the glories of the blest!,o5153-l11720,/est/ | /est/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
blessed | rest,Share the glories of the blest!,o5153-l11720,Now in everlasting rest,o5153-l11715,/est/ | /est/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
sky | fly,"Peers and nobles of the sky,",o5153-l11725,"Spirits immortal, hither fly!",o5153-l11730,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
fly | sky,"Spirits immortal, hither fly!",o5153-l11730,"Peers and nobles of the sky,",o5153-l11725,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
air | car,"Fly, and through the limpid air",o5153-l11735,"Guard in pomp the sliding car,",o5153-l11740,/eə/ | /ɑː/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
car | air,"Guard in pomp the sliding car,",o5153-l11740,"Fly, and through the limpid air",o5153-l11735,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
throne | down,Which to his terrestrial throne,o5153-l11745,Wafts Britannia's Genius down.,o5153-l11750,/əʊn/ | /aʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
down | throne,Wafts Britannia's Genius down.,o5153-l11750,Which to his terrestrial throne,o5153-l11745,/aʊn/ | /əʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
throng | song,"Hither too, ye tuneful throng,",o5153-l11755,"Masters of enchanting song,",o5153-l11760,/ɒŋ/ | /ɒŋ/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
song | throng,"Masters of enchanting song,",o5153-l11760,"Hither too, ye tuneful throng,",o5153-l11755,/ɒŋ/ | /ɒŋ/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
strains | pains,Sacred bards! whose rapt'rous strains,o5153-l11765,"Sooth the toiling hero's pains,",o5153-l11770,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
pains | strains,"Sooth the toiling hero's pains,",o5153-l11770,Sacred bards! whose rapt'rous strains,o5153-l11765,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
cares | ears,Sooth the patriot's gen'rous cares;,o5153-l11775,Sweetly thro' their ravish'd ears,o5153-l11780,/eəz/ | /ɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
ears | cares,Sweetly thro' their ravish'd ears,o5153-l11780,Sooth the patriot's gen'rous cares;,o5153-l11775,/ɪəz/ | /eəz/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
mind | refined,Whisp'ring to th' immortal mind,o5153-l11785,"Heav'nly visions, hopes refin'd;",o5153-l11790,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
refined | mind,"Heav'nly visions, hopes refin'd;",o5153-l11790,Whisp'ring to th' immortal mind,o5153-l11785,/aɪnd/ | /aɪnd/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
fame | flame,"Hopes of endless peace and fame,",o5153-l11795,"Safe from envy's blasting flame,",o5153-l11800,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
flame | fame,"Safe from envy's blasting flame,",o5153-l11800,"Hopes of endless peace and fame,",o5153-l11795,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
abodes | gods,"Pure, sincere, in those abodes,",o5153-l11805,"Where to throngs of list'ning gods,",o5153-l11810,/əʊdz/ | /ɒdz/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
gods | abodes,"Where to throngs of list'ning gods,",o5153-l11810,"Pure, sincere, in those abodes,",o5153-l11805,/ɒdz/ | /əʊdz/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
praise | lays,"Hymning bards, to virtue's praise,",o5153-l11815,Tune their never-dying lays.,o5153-l11820,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
lays | praise,Tune their never-dying lays.,o5153-l11820,"Hymning bards, to virtue's praise,",o5153-l11815,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
sky | fly,"Sweet encomiasts of the sky,",o5153-l11825,"Spirits immortal, hither fly!",o5153-l11830,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
fly | sky,"Spirits immortal, hither fly!",o5153-l11830,"Sweet encomiasts of the sky,",o5153-l11825,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
air | car,"Fly, and charm the limpid air,",o5153-l11835,"While the softly-sliding car,",o5153-l11840,/eə/ | /ɑː/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
car | air,"While the softly-sliding car,",o5153-l11840,"Fly, and charm the limpid air,",o5153-l11835,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
throne | down,To his sea-encircled throne,o5153-l11845,Wafts Britannia's Genius down.,o5153-l11850,/əʊn/ | /aʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
down | throne,Wafts Britannia's Genius down.,o5153-l11850,To his sea-encircled throne,o5153-l11845,/aʊn/ | /əʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
obey | way,"Gentle Spirit, we obey;",o5153-l11855,"Thus along th' aetherial way,",o5153-l11860,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
way | obey,"Thus along th' aetherial way,",o5153-l11860,"Gentle Spirit, we obey;",o5153-l11855,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
car | air,We attend our monarch's car;,o5153-l11865,Thus we charm the silent air.,o5153-l11870,/ɑː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
air | car,Thus we charm the silent air.,o5153-l11870,We attend our monarch's car;,o5153-l11865,/eə/ | /ɑː/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
fly | sky,"Ye southern gales, that ever fly",o5153-l11875,"Who, as ye skim along the sky,",o5153-l11885,/aɪ/ | /aɪ/,full,<b>a</b>b<b>a</b>bcc,pers00024,o5153-w0320
train | main,"In frolic April's vernal train,",o5153-l11880,"Dip your light pinions in the main,",o5153-l11890,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>cc,pers00024,o5153-w0320
sky | fly,"Who, as ye skim along the sky,",o5153-l11885,"Ye southern gales, that ever fly",o5153-l11875,/aɪ/ | /aɪ/,full,<b>a</b>b<b>a</b>bcc,pers00024,o5153-w0320
main | train,"Dip your light pinions in the main,",o5153-l11890,"In frolic April's vernal train,",o5153-l11880,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>cc,pers00024,o5153-w0320
showers | bowers,"Then shake them fraught with genial show'rs,",o5153-l11895,O'er blooming Flora's primrose bow'rs:,o5153-l11900,/aʊəz/ | /aʊəz/,full,abab<b>c</b><b>c</b>,pers00024,o5153-w0320
bowers | showers,O'er blooming Flora's primrose bow'rs:,o5153-l11900,"Then shake them fraught with genial show'rs,",o5153-l11895,/aʊəz/ | /aʊəz/,full,abab<b>c</b><b>c</b>,pers00024,o5153-w0320
sport | resort,"Now cease awhile your wanton sport,",o5153-l11905,"Then to the flow'ry vale resort,",o5153-l11915,/ɔːt/ | /ɔːt/,full,<b>a</b>b<b>a</b>bcc,pers00024,o5153-w0320
away | convey,Now drive each threat'ning cloud away;,o5153-l11910,And hither all its sweets convey;,o5153-l11920,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>cc,pers00024,o5153-w0320
resort | sport,"Then to the flow'ry vale resort,",o5153-l11915,"Now cease awhile your wanton sport,",o5153-l11905,/ɔːt/ | /ɔːt/,full,<b>a</b>b<b>a</b>bcc,pers00024,o5153-w0320
convey | away,And hither all its sweets convey;,o5153-l11920,Now drive each threat'ning cloud away;,o5153-l11910,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>cc,pers00024,o5153-w0320
along | song,"And ever as ye dance along,",o5153-l11925,With soft murmurs aid our song.,o5153-l11930,/ɒŋ/ | /ɒŋ/,full,abab<b>c</b><b>c</b>,pers00024,o5153-w0320
song | along,With soft murmurs aid our song.,o5153-l11930,"And ever as ye dance along,",o5153-l11925,/ɒŋ/ | /ɒŋ/,full,abab<b>c</b><b>c</b>,pers00024,o5153-w0320
appear | hear,"But lo! fair Windsor's tow'rs appear,",o5153-l11935,"Hark! hark! the voice of joy I hear,",o5153-l11945,/ɪə/ | /ɪə/,full,<b>a</b>b<b>a</b>bcc,pers00024,o5153-w0320
imbrowned | round,And hills with spreading oaks imbrown'd!,o5153-l11940,Sung by a thousand echoes round;,o5153-l11950,/aʊnd/ | /aʊnd/,full,a<b>b</b>a<b>b</b>cc,pers00024,o5153-w0320
hear | appear,"Hark! hark! the voice of joy I hear,",o5153-l11945,"But lo! fair Windsor's tow'rs appear,",o5153-l11935,/ɪə/ | /ɪə/,full,<b>a</b>b<b>a</b>bcc,pers00024,o5153-w0320
round | imbrowned,Sung by a thousand echoes round;,o5153-l11950,And hills with spreading oaks imbrown'd!,o5153-l11940,/aʊnd/ | /aʊnd/,full,a<b>b</b>a<b>b</b>cc,pers00024,o5153-w0320
train | plain,"And now I view a glitt'ring train,",o5153-l11955,In triumph march o'er yonder plain.,o5153-l11960,/eɪn/ | /eɪn/,full,abab<b>c</b><b>c</b>,pers00024,o5153-w0320
plain | train,In triumph march o'er yonder plain.,o5153-l11960,"And now I view a glitt'ring train,",o5153-l11955,/eɪn/ | /eɪn/,full,abab<b>c</b><b>c</b>,pers00024,o5153-w0320
war | share,Hail mighty nation! ever fam'd in war!,o5153-l11965,Lo! heav'n descends thy festivals to share;,o5153-l11970,/ɔː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
share | war,Lo! heav'n descends thy festivals to share;,o5153-l11970,Hail mighty nation! ever fam'd in war!,o5153-l11965,/eə/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
praise | lays,"To view those heroes, whose immortal praise",o5153-l11975,Celestial bards shall sing in living lays.,o5153-l11980,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
lays | praise,Celestial bards shall sing in living lays.,o5153-l11980,"To view those heroes, whose immortal praise",o5153-l11975,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
lyre | conspire,"Now tune, ye bards, the British lyre;",o5153-l16685,"While heav'n and earth in Edward's praise conspire,",o5153-l16695,/aɪə/ | /aɪə/,full,<b>a</b>b<b>a</b>ab,pers00024,o5153-w0320
lyre | choir,"Now tune, ye bards, the British lyre;",o5153-l16685,"Join to the gen'ral voice your sacred choir,",o5153-l16700,/aɪə/ | /æə/,half-pararhyme,<b>a</b>ba<b>a</b>b,pers00024,o5153-w0320
string | wing,Now wake the vocal string;,o5153-l16690,"And on your soaring wing,",o5153-l16705,/ɪŋ/ | /ɪŋ/,full,a<b>b</b>aa<b>b</b>,pers00024,o5153-w0320
conspire | lyre,"While heav'n and earth in Edward's praise conspire,",o5153-l16695,"Now tune, ye bards, the British lyre;",o5153-l16685,/aɪə/ | /aɪə/,full,<b>a</b>b<b>a</b>ab,pers00024,o5153-w0320
conspire | choir,"While heav'n and earth in Edward's praise conspire,",o5153-l16695,"Join to the gen'ral voice your sacred choir,",o5153-l16700,/aɪə/ | /æə/,half-pararhyme,ab<b>a</b><b>a</b>b,pers00024,o5153-w0320
choir | lyre,"Join to the gen'ral voice your sacred choir,",o5153-l16700,"Now tune, ye bards, the British lyre;",o5153-l16685,/æə/ | /aɪə/,half-pararhyme,<b>a</b>ba<b>a</b>b,pers00024,o5153-w0320
choir | conspire,"Join to the gen'ral voice your sacred choir,",o5153-l16700,"While heav'n and earth in Edward's praise conspire,",o5153-l16695,/æə/ | /aɪə/,half-pararhyme,ab<b>a</b><b>a</b>b,pers00024,o5153-w0320
wing | string,"And on your soaring wing,",o5153-l16705,Now wake the vocal string;,o5153-l16690,/ɪŋ/ | /ɪŋ/,full,a<b>b</b>aa<b>b</b>,pers00024,o5153-w0320
name | fame,"From time and envy waft his glorious name,",o5153-l16710,And place it in the shrine of incorruptive fame.,o5153-l16715,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
fame | name,And place it in the shrine of incorruptive fame.,o5153-l16715,"From time and envy waft his glorious name,",o5153-l16710,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
round | sound,Begin: the list'ning echoes round,o5153-l16720,"Shall catch with joy the long-forgotten sound,",o5153-l16725,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
sound | round,"Shall catch with joy the long-forgotten sound,",o5153-l16725,Begin: the list'ning echoes round,o5153-l16720,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
strain | reign,And warbling thro' each grove the British strain,o5153-l16730,"To Windsor's smiling nymphs, recall their Arthur's reign.",o5153-l16735,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
reign | strain,"To Windsor's smiling nymphs, recall their Arthur's reign.",o5153-l16735,And warbling thro' each grove the British strain,o5153-l16730,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
woods | floods,"Ye nymphs of Windsor's bow'ry woods,",o5153-l16740,"Ye pow'rs who haunt yon glist'ning floods,",o5153-l16745,/ʊdz/ | /ʌdz/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
floods | woods,"Ye pow'rs who haunt yon glist'ning floods,",o5153-l16745,"Ye nymphs of Windsor's bow'ry woods,",o5153-l16740,/ʌdz/ | /ʊdz/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
delay | stray,That with reluctant fond delay,o5153-l16750,Around yon flow'ry valley stray;,o5153-l16755,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
stray | delay,Around yon flow'ry valley stray;,o5153-l16755,That with reluctant fond delay,o5153-l16750,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
erased | passed,"Say, from your minds hath time eras'd",o5153-l16760,The pleasing images of glory pass'd?,o5153-l16765,/eɪzd/ | /ɑːst/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
passed | erased,The pleasing images of glory pass'd?,o5153-l16765,"Say, from your minds hath time eras'd",o5153-l16760,/ɑːst/ | /eɪzd/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
more | gore,Review ye now those scenes no more?,o5153-l16770,"When nobly stain'd with Saxon gore,",o5153-l16775,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
gore | more,"When nobly stain'd with Saxon gore,",o5153-l16775,Review ye now those scenes no more?,o5153-l16770,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
plain | train,From Badon's long-contended plain,o5153-l16780,Great Arthur with his martial train,o5153-l16785,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
train | plain,Great Arthur with his martial train,o5153-l16785,From Badon's long-contended plain,o5153-l16780,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
repaired | shared,"To Windsor's chosen shades repair'd,",o5153-l16790,And with his knights the festive banquet shar'd.,o5153-l16795,/eəd/ | /eəd/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
shared | repaired,And with his knights the festive banquet shar'd.,o5153-l16795,"To Windsor's chosen shades repair'd,",o5153-l16790,/eəd/ | /eəd/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
beheld | field,Then first exulting Thames beheld,o5153-l16800,The triumphs of the listed field;,o5153-l16805,/eld/ | /iːld/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
field | beheld,The triumphs of the listed field;,o5153-l16805,Then first exulting Thames beheld,o5153-l16800,/iːld/ | /eld/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
meads | steeds,Beheld along his level meads,o5153-l16810,"Careering knights, encount'ring steeds,",o5153-l16815,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
steeds | meads,"Careering knights, encount'ring steeds,",o5153-l16815,Beheld along his level meads,o5153-l16810,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
inspire | fire,"Heroic games, whose toils inspire",o5153-l16820,"The thirst of praise, and kindle martial fire.",o5153-l16825,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
fire | inspire,"The thirst of praise, and kindle martial fire.",o5153-l16825,"Heroic games, whose toils inspire",o5153-l16820,/æə/ | /æə/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
arrayed | surveyed,"Fair Peace in war's bright mail array'd,",o5153-l16830,With smiles the glorious lists survey'd;,o5153-l16835,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
surveyed | arrayed,With smiles the glorious lists survey'd;,o5153-l16835,"Fair Peace in war's bright mail array'd,",o5153-l16830,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
prepare | war,So shou'd the brave (she cry'd) prepare,o5153-l16840,Their hearts and sinewy arms for war:,o5153-l16845,/eə/ | /ɔː/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
war | prepare,Their hearts and sinewy arms for war:,o5153-l16845,So shou'd the brave (she cry'd) prepare,o5153-l16840,/ɔː/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
repose | foes,"Such combats break not my repose,",o5153-l16850,Such sons best guard my rights from daring foes.,o5153-l16855,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
foes | repose,Such sons best guard my rights from daring foes.,o5153-l16855,"Such combats break not my repose,",o5153-l16850,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
bower | hour,"Then too in feastful hall or bow'r,",o5153-l16860,"Attendant on the genial hour,",o5153-l16865,/aʊə/ | /æə/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
hour | bower,"Attendant on the genial hour,",o5153-l16865,"Then too in feastful hall or bow'r,",o5153-l16860,/æə/ | /aʊə/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
strung | sung,"The British harp sweet lyrists strung,",o5153-l16870,And Albion's generous victors sung:,o5153-l16875,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
sung | strung,And Albion's generous victors sung:,o5153-l16875,"The British harp sweet lyrists strung,",o5153-l16870,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
fame | flame,While valiant Arthur's copious fame,o5153-l16880,Incessant fed the bright poetic flame.,o5153-l16885,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
flame | fame,Incessant fed the bright poetic flame.,o5153-l16885,While valiant Arthur's copious fame,o5153-l16880,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
excess | caress,"But mortals erring in excess,",o5153-l16890,O'erwhelm the virtue they caress.,o5153-l16895,/es/ | /es/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
caress | excess,O'erwhelm the virtue they caress.,o5153-l16895,"But mortals erring in excess,",o5153-l16890,/es/ | /es/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
mourned | turned,"Thus Arthur his great story mourn'd,",o5153-l16900,By too fond praise to fable turn'd:,o5153-l16905,/ɔːnd/ | /ɜːnd/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
turned | mourned,By too fond praise to fable turn'd:,o5153-l16905,"Thus Arthur his great story mourn'd,",o5153-l16900,/ɜːnd/ | /ɔːnd/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
toils | spoils,"Mourn'd the companions of his toils,",o5153-l16910,Mock'd with false glory and fantastic spoils.,o5153-l16915,/ɔɪlz/ | /ɔɪlz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
spoils | toils,Mock'd with false glory and fantastic spoils.,o5153-l16915,"Mourn'd the companions of his toils,",o5153-l16910,/ɔɪlz/ | /ɔɪlz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
tale | veil,"'Till thro' the dark romantic tale,",o5153-l16920,"Thro' superstition's magic veil,",o5153-l16925,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
veil | tale,"Thro' superstition's magic veil,",o5153-l16925,"'Till thro' the dark romantic tale,",o5153-l16920,/eɪl/ | /eɪl/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
owned | crowned,"Sage Edward piercing view'd, and own'd",o5153-l16930,The chief with genuine lustre crown'd:,o5153-l16935,/əʊnd/ | /aʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
crowned | owned,The chief with genuine lustre crown'd:,o5153-l16935,"Sage Edward piercing view'd, and own'd",o5153-l16930,/aʊnd/ | /əʊnd/,half-pararhyme,<b>a</b><b>a</b>,pers00024,o5153-w0320
restored | board,"View'd the great model, and restor'd",o5153-l16940,The long-lost honours of his martial board.,o5153-l16945,/ɔːd/ | /ɔːd/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
board | restored,The long-lost honours of his martial board.,o5153-l16945,"View'd the great model, and restor'd",o5153-l16940,/ɔːd/ | /ɔːd/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
lays | praise,"Hail British prince! these faithful lays,",o5153-l16950,"Shall reassert thy ancient praise,",o5153-l16960,/eɪz/ | /eɪz/,full,<b>a</b>b<b>a</b>bcc,pers00024,o5153-w0320
worth | forth,"Eternal records of heroic worth,",o5153-l16955,"And from the cloud of fiction call thee forth,",o5153-l16965,/ɜːθ/ | /ɔːθ/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00024,o5153-w0320
praise | lays,"Shall reassert thy ancient praise,",o5153-l16960,"Hail British prince! these faithful lays,",o5153-l16950,/eɪz/ | /eɪz/,full,<b>a</b>b<b>a</b>bcc,pers00024,o5153-w0320
forth | worth,"And from the cloud of fiction call thee forth,",o5153-l16965,"Eternal records of heroic worth,",o5153-l16955,/ɔːθ/ | /ɜːθ/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00024,o5153-w0320
reclaim | fame,"In glory's sphere thy orbit to reclaim,",o5153-l16970,And at great Edward's beam relume thy darken'd fame.,o5153-l16975,/eɪm/ | /eɪm/,full,abab<b>c</b><b>c</b>,pers00024,o5153-w0320
