dim,id,label,poems,authors
syllab,6.6.6.6,6.6.6.6,5,4
syllab,10.8,10.8,4,1
syllab,10.10.10.12,10.10.10.12,4,4
syllab,8.8.8.8.8.8.8.12,8.8.8.8.8.8.8.12,4,3
syllab,10.10.10.10.10.12,10.10.10.10.10.12,4,4
syllab,12.9.12.9.12.9.12.9,12.9.12.9.12.9.12.9,4,4
syllab,8.8.8.6,8.8.8.6,4,2
syllab,10.10.10.10.10.10.10.10.10.12,10.10.10.10.10.10.10.10.10.12,4,3
syllab,8.8.6.8.8.6.8.6.8.6.6.6.6.6,8.8.6.8.8.6.8.6.8.6.6.6.6.6,4,2
syllab,6.6.8.6,6.6.8.6,4,1
syllab,11.8.11.8,11.8.11.8,3,3
syllab,8.8.8.8.8.8.8.8.8.8.8.8,8.8.8.8.8.8.8.8.8.8.8.8,3,3
syllab,8.8.8.8.8.12,8.8.8.8.8.12,3,3
syllab,10.8.10.8,10.8.10.8,3,3
syllab,8.10,8.10,3,3
syllab,8.6.8.6.8.8.6.8.8.6,8.6.8.6.8.8.6.8.8.6,3,1
syllab,6,6,3,3
syllab,8.8.8.8.8.8.8,8.8.8.8.8.8.8,3,3
syllab,11.8.11.8.11.8.11.8,11.8.11.8.11.8.11.8,3,2
syllab,10.10.10,10.10.10,3,3
syllab,8.8.10.8.8.12,8.8.10.8.8.12,3,2
syllab,11.11.11.11.11.11,11.11.11.11.11.11,3,3
syllab,11.11.11.11.11.11.11.11,11.11.11.11.11.11.11.11,3,2
syllab,12.12.9.12.12.9,12.12.9.12.12.9,3,2
syllab,8.6.8.6.8.6.8.6.4,8.6.8.6.8.6.8.6.4,3,1
syllab,7.7.7.7.7.7,7.7.7.7.7.7,3,3
syllab,10.10.10.6,10.10.10.6,2,2
syllab,8.8.8.8.6,8.8.8.8.6,2,2
syllab,7.6.7.6,7.6.7.6,2,2
syllab,10.10.6.6,10.10.6.6,2,2
syllab,8.8.5.8.8.5,8.8.5.8.8.5,2,1
syllab,8.8.8.8.8,8.8.8.8.8,2,2
syllab,8.8.8.6.8.8.6.8.8.6,8.8.8.6.8.8.6.8.8.6,2,1
syllab,8.8.6,8.8.6,2,1
syllab,9.8.9.8.9.8.9.8,9.8.9.8.9.8.9.8,2,2
syllab,10.8.10.10.12,10.8.10.10.12,2,1
syllab,8.6.8.6.8.8.10.12,8.6.8.6.8.8.10.12,2,1
syllab,12.12.12.12.12,12.12.12.12.12,2,2
syllab,6.6.9.6.6.9,6.6.9.6.6.9,2,2
