poem_id,aut_id,foottype,footnums,stanza,spos,syllab,form,met,rhyme,nlines
bsb18-w0070,pers00280,iamb,tetrameter|trimeter,,intermittent,8.6.8.6,narrative,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,xaxa,36
o3900-w1150,pers00309,iamb,tetrameter,sestet|sestarima,,8.8.8.8.8.8,hymn,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,ababcc,36
n12pw-w0010,pers00358,iamb,pentameter,couplet,pair,10,,-+|-+|-+|-+|-+/,aa,64
pmt18-w0024,pers00320,iamb,pentameter|hexameter,nine-line,cross,10.10.10.10.10.10.10.10.12,narrative,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+|-+/,ababcdcdd,549
oat77-w0050,pers00344,iamb,,triplet,,,,irregular,,89
glb19-w0080,pers00352,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,abbacddcefefef,14
bah18-w0440,pers00281,anapaest,tetrameter,quatrain,cross,12.12.12.12,song,-+|--+|--+|--+|-/ -+|--+|--+|--+/ -+|--+|--+|--+|-/ -+|--+|--+|--+/,abab,8
pba35-w0110,pers00087,iamb,pentameter,couplet,pair,10,occasional|panegyric|address,-+|-+|-+|-+|-+/,aa,30
pma99-w0160,pers00306,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,hymn,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,28
o5154-w0240,pers00112,iamb,pentameter,couplet,pair,10,heroiccouplet|address,-+|-+|-+|-+|-+/,aa,99
o5247-w0210,pers00295,iamb,pentameter,couplet,pair,10,heroiccouplet|dreamvision,-+|-+|-+|-+|-+/,aa,20
o5156-w1130,pers00010,iamb,pentameter,couplet,pair,10,heroiccouplet|satire,-+|-+|-+|-+|-+/,aa,22
o5280-w0250,pers00277,trochee,tetrameter,quatrain,pair,8.8.8.8,,+-|+-|+-|+-/ +-|+-|+-|+-/ +-|+-|+-|+-/ +-|+-|+-|+-/,aabb,16
o4986-w0930,pers00168,anapaest,trimeter,octet,cross,9.9.9.9.9.9.9.9,pastoral,-+|--+|--+/ -+|--+|--+/ -+|--+|--+/ -+|--+|--+/ -+|--+|--+/ -+|--+|--+/ -+|--+|--+/ -+|--+|--+/,ababcdcd,32
o3795-w0070,pers00269,iamb,pentameter,couplet,pair,10,heroiccouplet|epistle,-+|-+|-+|-+|-+/,aa,63
n22cs-w0140,pers00290,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,abbacddceffegg,14
psw11-w0060,pers00148,iamb,tetrameter,couplet,pair,8,burlesque|satire|character|imitation|translation|paraphrase,-+|-+|-+|-+/,aa,178
bed98-w0340,pers00340,iamb,pentameter,couplet,pair,10,occasional,-+|-+|-+|-+|-+/,aa,55
o5153-w0460,pers00119,iamb,pentameter,octet,pair,10,inscription,-+|-+|-+|-+|-+/,aa,8
n09jt-w0010,pers00356,iamb,pentameter,,cross,10.10.10.10,elegy,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,abab,108
o5156-w0640,pers00101,iamb,tetrameter,couplet,pair,8,,-+|-+|-+|-+/,aa,254
tpc26-w0220,pers00353,iamb,tetrameter|trimeter,sestet,tail,8.8.6.8.8.6,satire,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,aabccb,90
o3900-w0040,pers00311,iamb,tetrameter,,pair,8,epitaph,-+|-+|-+|-+/,aa,10
bsb18-w0280,pers00280,iamb,pentameter,,cross,10.10.10.10,elegy,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,abab,36
o4987-w0430,pers00250,iamb,pentameter,,,10,sonnet|ItalianSonnet,-+|-+|-+|-+|-+/,ababababcdcddc,14
glb19-w0270,pers00352,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,abbacddceffegg,14
pba35-w1000,pers00261,iamb,tetrameter,couplet,pair,8,panegyric,-+|-+|-+|-+/,aa,54
bjb18-w0520,pers00287,anapaest,trimeter,quatrain,cross,,song,irregular,abab,84
bjl92-w0490,pers00338,iamb,pentameter,couplet,pair,10,tale,-+|-+|-+|-+|-+/,aa,66
bsb18-w0610,pers00280,anapaest,tetrameter,octet,intermittent,12.11.12.11.12.11.12.11,song,-+|--+|--+|--+|-/ -+|--+|--+|--+/ -+|--+|--+|--+|-/ -+|--+|--+|--+/ -+|--+|--+|--+|-/ -+|--+|--+|--+/ -+|--+|--+|--+|-/ -+|--+|--+|--+/,xaxaxbxb,32
cbu86-w0320,pers00307,iamb,tetrameter,octet,cross,8.8.8.8.8.8.8.8,song,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,xaxaxbxb,40
oat77-w0630,pers00344,iamb,tetrameter,couplet,pair,8,address,-+|-+|-+|-+/,aa,12
bao18-w0010,pers00279,anapaest,tetrameter|trimeter,quatrain,intermittent,11.9.11.9,lyric|narrative,-+|--+|--+|--+/ --+|--+|--+/ -+|--+|--+|--+/ --+|--+|--+/,xaxa,168
oar96-w0300,pers00265,iamb,pentameter,octet,pair,10,address,-+|-+|-+|-+|-+/,aa,8
bmb97-w0050,pers00315,iamb,tetrameter,quatrain,cross,8.8.8.8,ode,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,264
pmt18-w0220,pers00320,iamb,tetrameter,quatrain,cross,8.8.8.8,address,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,36
bah18-w0220,pers00281,iamb,pentameter,couplet,pair,10,address,-+|-+|-+|-+|-+/,aa,34
pba35-w0770,pers00087,iamb,pentameter,sestet,pair,10.10.10.10.10.10,answer,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,aabbcc,6
pmc36-w0190,pers00325,iamb,pentameter,couplet,pair,10,heroiccouplet|address,-+|-+|-+|-+|-+/,aa,31
o4985-w0030,pers00048,iamb,tetrameter|trimeter,sestet,tail,8.8.6.8.8.6,ode,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,aabccb,42
psm63-w0010,pers00254,iamb,tetrameter|trimeter,sestet,tail,8.8.6.8.8.6,,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,aabccb,516
o5153-w0690,pers00147,iamb,tetrameter|trimeter,sestet,tail,8.8.6.8.8.6,imitation|translation|paraphrase,-+|-+|-+|-+/     -+|-+|-+|-+/     -+|-+|-+/     -+|-+|-+|-+/     -+|-+|-+|-+/     -+|-+|-+/,aabccb,78
o5154-w0420,pers00085,iamb,tetrameter|trimeter,sestet,tail,8.8.6.8.8.6,ballad|ode,-+|-+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+/,aabccb,96
o4090-w0010,pers00339,iamb,pentameter|trimeter|tetrameter|hexameter,,,,ode,irregular,,140
o5280-w0430,pers00277,iamb,pentameter,couplet,pair,10,satire,-+|-+|-+|-+|-+/,aa,14
bed98-w0520,pers00340,iamb,tetrameter,quatrain,cross,8.8.8.8,tale,-+|-+|-+|-+|-/ -+|-+|-+|-+/ -+|-+|-+|-+|-/ -+|-+|-+|-+/,abab,200
pma99-w0390,pers00306,iamb,pentameter,sestet,pair,10.10.10.10.10.10,epigram,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,aabbcc,6
o5153-w0200,pers00030,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,ballad|chevy-chase|epigram,-+|-+|-+|-+/     -+|-+|-+/     -+|-+|-+|-+/     -+|-+|-+/,abab,4
o5156-w0020,pers00035,trochee,tetrameter,quatrain,pair,7.7.7.7,inscription,+-|+-|+-|+/         +-|+-|+-|+/         +-|+-|+-|+/         +-|+-|+-|+/,aabb,48
o4741-w0380,pers00091,iamb,trimeter|tetrameter,quatrain,cross,8.6.8.6,epigram,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,4
o4784-w0350,pers00268,iamb,pentameter,couplet,pair,10,heroiccouplet,-+|-+|-+|-+|-+/,aa,18
o5125-w0440,pers00154,iamb,tetrameter,couplet,pair,8,character,-+|-+|-+|-+/,aa,46
pik94-w0220,pers00327,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,dreamvision,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,64
oau90-w0480,pers00350,iamb,tetrameter,quatrain,cross,8.8.8.8,,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,24
prc90-w0450,pers00328,iamb,pentameter,couplet,pair,10,heroiccouplet|occasional,-+|-+|-+|-+|-+/,aa,26
o5089-w0240,pers00038,iamb,pentameter,couplet,pair,10,satire|extract,-+|-+|-+|-+|-+/,aa,110
n27tc-w0070,pers00316,anapaest,tetrameter,quatrain,pair,12.12.12.12,song,--+|--+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+|--+/,aabb,24
bse96-w0040,pers00282,iamb,tetrameter,couplet,pair,8,dialogue,-+|-+|-+|-+/,aa,234
o4986-w0330,pers00219,iamb,pentameter,,,10,blankverse|meditation,-+|-+|-+|-+|-+/,,107
pcc86-w0190,pers00323,anapaest,tetrameter|trimeter,quatrain,,12.9.12.9,occasional,--+|--+|--+|--+|/ --+|--+|--+|/ --+|--+|--+|--+|/ --+|--+|--+|/,xaxa,16
oau90-w0010,pers00350,iamb,pentameter,couplet,pair,10,essay|satire,-+|-+|-+|-+|-+/,aa,310
pye85-w0130,pers00256,iamb,pentameter,,,10,blankverse|address|fragment,-+|-+|-+|-+|-+/,,86
pjo50-w0180,pers00273,iamb,tetrameter|trimeter,quatrain,intermittent,8.6.8.6,ballad,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,xaxa,60
o5157-w0720,pers00115,iamb,tetrameter,couplet,pair,8,address,-+|-+|-+|-+/,aa,122
pmp18-w0710,pers00314,iamb,tetrameter,quatrain,pair,8.8.8.8,epigram,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,aabb,4
o4672-w0620,pers00292,iamb,pentameter,couplet,pair,10,heroiccouplet|address,-+|-+|-+|-+|-+/,aa,115
pse03-w0200,pers00272,iamb,pentameter,couplet,pair,10,heroiccouplet,-+|-+|-+|-+|-+/,aa,43
par19-w0020,pers00351,iamb,pentameter|tetrameter,quatrain,cross,10.10.10.10,sonnet,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,abab,20
o5155-w0320,pers00001,iamb,pentameter,couplet,pair,10,heroiccouplet|answer,-+|-+|-+|-+|-+/,aa,12
peh89-w0210,pers00324,iamb,tetrameter|trimeter,quatrain,intermittent,8.6.8.6,narrative,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,xaxa,60
o5152-w0190,pers00101,iamb,tetrameter,couplet,pair,8,epigram,-+|-+|-+|-+/,aa,16
bhw18-w0200,pers00276,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,ababcdcdefefgg,14
pjo50-w0510,pers00273,trochee,tetrameter,couplet,pair,7,occasional,+-|+-|+-|+/,aa,16
o4739-w0170,pers00284,iamb,tetrameter|pentameter|hexameter,couplet,pair,,address,irregular,aa,102
pmp18-w0380,pers00314,trochee,tetrameter,quatrain,pair,7.7.7.7,ode,+-|+-|+-|+/ +-|+-|+-|+/ +-|+-|+-|+/ +-|+-|+-|+/,aabb,4
o4987-w0850,pers00204,iamb,tetrameter,couplet,pair,8,epistle|parody,-+|-+|-+|-+/,aa,110
tgaen-wsng1,pers00039,anapaest,tetrameter,quatrain,pair,12.12.12.12,song,-+|--+|--+|--+|-/ -+|--+|--+|--+|-/ -+|--+|--+|--+|-/ -+|--+|--+|--+|-/,aabb,8
o3549-w0070,pers00020,iamb,pentameter,,,10,blankverse,-+|-+|-+|-+|-+/,,299
pro75-w0180,pers00271,iamb,pentameter,couplet,pair,10,heroiccouplet|epistle,-+|-+|-+|-+|-+/,aa,80
pmp18-w1060,pers00314,iamb,pentameter,couplet,pair,10,paraphrase,-+|-+|-+|-+|-+/,aa,61
o3794-w0110,pers00269,iamb,pentameter,couplet,pair,10,heroiccouplet|philosophic,-+|-+|-+|-+|-+/,aa,12
pro75-w0120,pers00271,iamb,pentameter,quatrain,cross,10.10.10.10,heroicquatrain|elegy|occasional,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,abab,64
o5157-w0310,pers00114,anapaest,tetrameter,couplet,pair,12,fragment|epistle,--+|--+|--+|--+/,aa,44
o4672-w0210,pers00292,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,hymn,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,16
clc03-w0110,pers00349,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,24
pmp18-w0320,pers00314,anapaest,tetrameter,couplet,pair,12,complaint,--+|--+|--+|--+/,aa,16
cac95-w0060,pers00301,iamb,trimeter|tetrameter|pentameter,,,,song,irregular,irregular,52
o5155-w0380,pers00049,iamb,trimeter|tetrameter|pentameter|hexameter,,,,ode|occasional,,,64
o5152-w0130,pers00001,iamb,pentameter,couplet,pair,10,heroiccouplet|epigram,-+|-+|-+|-+|-+/,aa,11
par19-w0080,pers00351,iamb,pentameter,,cross,10,sonnet,-+|-+|-+|-+|-+/,ababcdcdefefghghii,18
o4672-w0680,pers00292,iamb,pentameter,couplet,pair,10,heroiccouplet|elegy,-+|-+|-+|-+|-+/,aa,418
o5157-w0780,pers00115,iamb,tetrameter,quatrain,cross,8.8.8.8,,-+|-+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+|-+/,abab,28
ojg27-w0100,pers00303,iamb,tetrameter,couplet,pair,8,fable,-+|-+|-+|-+/,aa,38
o5155-w0710,pers00002,iamb,tetrameter|pentameter|hexameter,sestet,tail,8.8.10.8.8.12,ode,-+|-+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+|-+|-+|-+/,aabccb,54
pjo50-w0120,pers00273,iamb,pentameter,couplet,pair,10,heroiccouplet|elegy|mockelegy,-+|-+|-+|-+|-+/,aa,79
prc90-w0060,pers00328,iamb,tetrameter|trimeter,sestet,tail,8.8.6.8.8.6,pastoral,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,aabccb,186
o4984-w0300,pers00019,anapaest,tetrameter|trimeter,quatrain,cross,12.9.12.9,epistle,--+|--+|--+|--+/ --+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+/,abab,20
pcc86-w0130,pers00323,,,,,,epitaph,irregular,,23
o5125-w0070,pers00154,iamb,pentameter,couplet,pair,10,heroiccouplet|hymn|wish,-+|-+|-+|-+|-+/,aa,30
o4784-w0760,pers00268,iamb,tetrameter,quintet,tail,8.8.8.8.8,song,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abaab,10
o4986-w0390,pers00044,iamb,tetrameter,quatrain,cross,8.8.8.8,meditation,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,16
o5156-w0870,pers00131,iamb,pentameter,couplet,pair,10,heroiccouplet|epigram,-+|-+|-+|-+|-+/,aa,8
oau90-w0420,pers00350,,,couplet,pair,,dialogue,irregular,aa,28
pik94-w0280,pers00327,iamb,tetrameter,couplet,pair,8,fable,-+|-+|-+|-+/,aa,162
o5089-w0670,pers00094,iamb,tetrameter,couplet,pair,8,answer|epistle,-+|-+|-+|-+/,aa,62
o4986-w0700,pers00029,iamb,tetrameter,couplet,pair,8,address,-+|-+|-+|-+/,aa,36
o4741-w0320,pers00091,iamb,trimeter|tetrameter,quatrain,cross,8.6.8.6,occasional,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,16
o4154-w0010,pers00332,iamb,pentameter,couplet,pair,10,heroiccouplet,-+|-+|-+|-+|-+/,aa,179
o3893-w0010,pers00341,iamb,pentameter,,,10,blankverse,-+|-+|-+|-+|-+/,,1381
o5156-w0080,pers00035,iamb,trimeter|tetrameter|pentameter,,,,ode,irregular,irregular,120
o4111-w0010,pers00155,iamb,pentameter,couplet,pair,10,heroiccouplet|satire|epistle,-+|-+|-+|-+|-+/,aa,382
o5154-w0010,pers00012,iamb,pentameter,couplet,pair,10,heroiccouplet|address,-+|-+|-+|-+|-+/,aa,14
pma99-w0330,pers00306,iamb,pentameter,quatrain,cross,10.10.10.10,occasional,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,abab,12
bed98-w0580,pers00340,iamb,trimeter,quatrain,cross,6.6.6.6,song,-+|-+|-+/ -+|-+|-+/ -+|-+|-+/ -+|-+|-+/,abab,28
o5247-w0040,pers00295,iamb,tetrameter,sestet,pair,8.8.8.8.8.8,hymn|imitation,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,aabbcc,24
o5156-w0410,pers00145,iamb,pentameter,couplet,pair,10,heroiccouplet|epitaph,-+|-+|-+|-+|-+/,aa,28
tpc26-w0070,pers00353,anapaest,tetrameter|trimeter,octet,intermittent,11.8.11.8.11.8.11.8,fable,-+|--+|--+|--+/ -+|--+|--+/ -+|--+|--+|--+/ -+|--+|--+/ -+|--+|--+|--+/ -+|--+|--+/ -+|--+|--+|--+/ -+|--+|--+/,xaxaxbxb,32
o5346-w0030,pers00174,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,ballad,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,156
o5153-w0630,pers00083,iamb,pentameter,sestet,,10.10.10.10.10.10,,-+|-+|-+|-+|-+/     -+|-+|-+|-+|-+/     -+|-+|-+|-+|-+/     -+|-+|-+|-+|-+/     -+|-+|-+|-+|-+/     -+|-+|-+|-+|-+/,ababcc,42
o5154-w0480,pers00098,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,ballad|chevy-chase|song,-+|-+|-+|-+/          -+|-+|-+/         -+|-+|-+|-+/          -+|-+|-+/,abab,20
bed98-w0110,pers00340,iamb,pentameter,sestet,pair,10.10.10.10.10.10,occasional,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,aabbcc,12
n22cs-w0310,pers00290,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,ababbccbdedeff,14
o4985-w0090,pers00048,iamb,pentameter|tetrameter,,,,ode,irregular,irregular,76
o4103-w0040,pers00254,iamb,pentameter|tetrameter,,,,ode,irregular,irregular,63
ppo24-w0110,pers00257,iamb,pentameter,couplet,pair,10,heroiccouplet|address,-+|-+|-+|-+|-+/,aa,11
bah18-w0280,pers00281,anapaest,tetrameter,quatrain,pair,12.12.12.12,song,--+|--+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+|--+/,aabb,16
pmc36-w0130,pers00325,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,address,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,44
glb19-w0640,pers00352,iamb,pentameter,,,10,,-+|-+|-+|-+|-+/,abbaccdeedffgghhii,18
o5155-w0942,pers00035,iamb,tetrameter,quatrain,cross,8.8.8.8,inscription,-+|-+|-+|-+/          -+|-+|-+|-+/          -+|-+|-+|-+/          -+|-+|-+|-+/,abab,16
pmt18-w0280,pers00320,iamb,tetrameter,quatrain,cross,8.8.8.8,occasional,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,56
bjb18-w0110,pers00287,iamb,pentameter,couplet,pair,10,heroiccouplet,-+|-+|-+|-+|-+/,aa,96
oat77-w0690,pers00344,iamb,,couplet,,,,irregular,,25
cbu86-w0380,pers00307,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,epitaph,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,4
bjb18-w0580,pers00287,iamb,tetrameter|trimeter,octet,,8.7.8.7.6.6.8.7,song,-+|-+|-+|-+/ -+|-+|-+|-/ -+|-+|-+|-+/ -+|-+|-+|-/ +|-+|-+|-/ +|-+|-+|-/ -+|-+|-+|-+/ -+|-+|-+|-/,ababccxc,32
bjl92-w0430,pers00338,iamb,tetrameter|trimeter|dimeter,sestet,,8.8.8.6.8.4,epistle,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+/,aaabab,60
oat77-w0200,pers00344,iamb,tetrameter,couplet|triplet,pair|cross,,,irregular,ababccddeee,33
o4985-w0400,pers00049,iamb,pentameter|tetrameter|trimeter,,,,ode,irregular,irregular,60
pba35-w0340,pers00087,iamb,pentameter,couplet,pair,10,heroiccouplet|essay,-+|-+|-+|-+|-+/,aa,58
o5454-w0250,pers00292,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,song,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,16
o4987-w0490,pers00213,iamb,tetrameter,couplet,pair,8,epitaph,-+|-+|-+|-+/,aa,14
bsb18-w0220,pers00280,iamb,tetrameter|trimeter,,cross,8.6.8.6,address,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,264
o3900-w1300,pers00309,iamb,tetrameter,quatrain,pair,8.8.8.8,hymn,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,aabb,24
tpc26-w0280,pers00353,iamb,tetrameter,quatrain,pair,8.8.8.8,occasional,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,aabb,4
o3778-w0010,pers00339,iamb,pentameter,couplet,pair,10,pastoral,-+|-+|-+|-+|-+/,aa,171
o5154-w0670,pers00051,iamb,pentameter|trimeter,,,,ode|elegy,irregular,irregular,283
o5156-w0270,pers00138,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,ballad|chevy-chase|song,-+|-+|-+|-+/         -+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+/,abab,16
o5156-w1190,pers00068,iamb,pentameter,quatrain,cross,10.10.10.10,heroicquatrain|elegy,-+|-+|-+|-+|-+/         -+|-+|-+|-+|-+/         -+|-+|-+|-+|-+/         -+|-+|-+|-+|-+/,abab,40
o5153-w0050,pers00030,iamb,pentameter,couplet,pair,10,heroiccouplet|epistle|advice,-+|-+|-+|-+|-+/,aa,86
bed98-w0770,pers00340,iamb,tetrameter,quatrain,cross,8.8.8.8,hymn,-+|-+|-+|-+|-/ -+|-+|-+|-+/ -+|-+|-+|-+|-/ -+|-+|-+|-+/,abab,16
n22cs-w0570,pers00290,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,ababcdcdefefef,14
glb19-w0020,pers00352,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,abbacddcefefgg,14
bjb18-w0770,pers00287,iamb,pentameter|tetrameter,,,,hymn,irregular,aa,56
o3555-w0250,pers00149,iamb,pentameter,couplet,pair,10,heroiccouplet,-+|-+|-+|-+|-+/,aa,28
pba35-w1250,pers00087,iamb,tetrameter,couplet,pair,8,address,-+|-+|-+|-+/,aa,16
pmt18-w0070,pers00320,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,abbacddceffegg,14
oar96-w0150,pers00265,iamb,pentameter,couplet,pair,10,heroiccouplet|occasional,-+|-+|-+|-+|-+/,aa,42
bmb97-w0200,pers00315,iamb,tetrameter|trimeter,quatrain,intermittent,8.6.8.6,ode,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,xaxa,8
bjl92-w0250,pers00338,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,occasional,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,32
o5295-w0010,pers00339,iamb,pentameter,couplet,pair,10,address,-+|-+|-+|-+|-+/,aa,82
bao18-w0240,pers00279,iamb,tetrameter,quatrain,cross,8.8.8.8,ballad|address,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,32
oat77-w0460,pers00344,iamb,,couplet,pair,,advice,irregular,aa,17
o4985-w0260,pers00032,iamb,pentameter,couplet,pair,10,heroiccouplet|address,-+|-+|-+|-+|-+/,aa,34
pba35-w0520,pers00087,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,address,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,12
bah18-w0070,pers00281,iamb,tetrameter|pentameter|hexameter,sestarima|sestet,,8.8.8.8.10.12,ode,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+|-+/,ababcc,24
o4106-w0090,pers00294,iamb,pentameter,couplet,pair,10,heroiccouplet|narrative,-+|-+|-+|-+|-+/,aa,490
pmp18-w0920,pers00314,iamb,pentameter,couplet,pair,10,imitation,-+|-+|-+|-+|-+/,aa,26
bsb18-w0440,pers00280,anapaest,tetrameter,octet,cross,12.12.12.12.12.12.12.12,song,--+|--+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+|--+/,ababcdcd,16
o3900-w0680,pers00309,iamb,tetrameter,quatrain,pair,8.8.8.8,hymn,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,aabb,32
