poem_id,aut_id,foottype,footnums,stanza,spos,syllab,form,met,rhyme,nlines
cbu86-w0270,pers00307,iamb,tetrameter|dimeter,sestet,tail,8.8.8.4.8.4,epistle,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+/ -+|-+|-+|-+/ -+|-+/,aaabab,132
bsb18-w0740,pers00280,iamb,tetrameter,twelve-line|triplet,,8.8.8.8.8.8.8.8.8.8.8.8,song|refrain,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,aaabcccbdddb,36
o4985-w0160,pers00167,anapaest,tetrameter|trimeter,quatrain,cross,12.9.12.9,pastoral|song|ballad,--+|--+|--+|--+/ --+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+/,abab,76
pba35-w0620,pers00261,iamb,pentameter,couplet,pair,10,heroiccouplet|address,-+|-+|-+|-+|-+/,aa,26
bah18-w0370,pers00281,iamb,tetrameter,quatrain,cross,8.8.8.8,song,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,16
oar96-w0250,pers00265,iamb,pentameter,couplet,pair,10,heroiccouplet|paraphrase,-+|-+|-+|-+|-+/,aa,38
bmb97-w0100,pers00315,iamb,tetrameter,quatrain,cross,8.8.8.8,ode,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,36
bjl92-w0150,pers00338,iamb,pentameter,couplet,pair,10,tale,-+|-+|-+|-+|-+/,aa,82
bao18-w0140,pers00279,iamb,pentameter,couplet,cross,10,sonnet,-+|-+|-+|-+|-+/,ababcdcdefefgg,14
pmt18-w0370,pers00320,iamb,tetrameter|pentameter|hexameter,,,,ode,irregular,aa,23
o4987-w0560,pers00246,iamb,trimeter|tetrameter|pentameter|hexameter,sestet|sestarima,,8.6.8.6.10.12,ode,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+|-+/,ababcc,48
bjb18-w0470,pers00287,iamb,tetrameter,couplet,pair,8,occasional,-+|-+|-+|-+/,aa,38
o3555-w0150,pers00149,trochee,tetrameter|trimeter,quatrain,cross,8.6.8.6,dialogue|song,+-|+-|+-|+-/ +-|+-|+-/ +-|+-|+-|+-/ +-|+-|+-/,abab,28
pba35-w1150,pers00261,iamb,pentameter,couplet,pair,10,heroiccouplet|prologue,-+|-+|-+|-+|-+/,aa,38
glb19-w0320,pers00352,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,abbacddceffegg,14
bed98-w0470,pers00340,iamb,tetrameter,quatrain,cross,8.8.8.8,song,-+|-+|-+|-+|-/ -+|-+|-+|-+/ -+|-+|-+|-+|-/ -+|-+|-+|-+/,abab,48
