Rhyme word,End freq,Full freq,Body freq,%DIFF,Rhyme frequency ratio
muse,205,1144,939,44.88,0.179196
engage,204,242,38,3462.604,0.842975
employ,203,271,68,1881.108,0.749077
flowers,202,625,423,216.907,0.3232
grow,201,410,209,538.22,0.490244
clear,200,469,269,393.399,0.426439
complain,198,221,23,5612.922,0.895928
force,198,764,566,132.151,0.259162
crown,197,497,300,335.779,0.396378
taste,195,646,451,186.932,0.301858
cried,195,541,346,274.007,0.360444
gale,195,271,76,1602.715,0.719557
town,195,364,169,665.718,0.535714
ill,195,554,359,260.463,0.351986
doom,194,285,91,1314.755,0.680702
save,194,533,339,279.772,0.363977
yield,194,411,217,493.284,0.472019
tread,193,337,144,789.438,0.5727
chain,192,288,96,1227.244,0.666667
course,191,520,329,285.264,0.367308
flower,191,390,199,536.944,0.489744
foes,189,446,257,388.033,0.423767
possessed,189,273,84,1393.15,0.692308
fires,187,364,177,601.115,0.513736
fell,187,504,317,291.474,0.371032
pay,186,347,161,666.669,0.536023
pains,186,388,202,511.058,0.479381
dream,186,348,162,661.937,0.534483
door,186,285,99,1146.805,0.652632
designed,185,271,86,1327.559,0.682657
gloom,185,368,183,570.875,0.502717
relief,185,251,66,1760.153,0.737052
bowers,185,271,86,1327.559,0.682657
hill,185,404,219,460.594,0.457921
skill,184,387,203,501.51,0.475452
flew,183,288,105,1056.599,0.635417
repair,183,203,20,5972.144,0.901478
disdain,183,268,85,1328.74,0.682836
band,182,263,81,1391.102,0.692015
due,181,376,195,515.978,0.481383
cease,181,502,321,274.192,0.360558
adieu,181,266,85,1313.125,0.680451
hue,181,222,41,2829.649,0.815315
cry,179,342,163,628.763,0.523392
page,179,290,111,970.166,0.617241
old,178,1173,995,18.718,0.151748
refined,178,235,57,1972.364,0.757447
bliss,178,727,549,115.163,0.244842
low,176,576,400,191.994,0.305556
nigh,176,208,32,3549.922,0.846154
flows,176,264,88,1227.244,0.666667
it,175,5268,5093,-77.197,0.033219
drew,174,346,172,571.339,0.50289
shrine,174,273,99,1066.366,0.637363
fight,174,299,125,823.762,0.58194
theme,173,326,153,650.37,0.530675
brought,173,414,241,376.376,0.417874
sweet,172,1825,1653,-30.948,0.094247
surprise,172,219,47,2328.575,0.785388
wings,172,510,338,237.701,0.337255
prevail,171,186,15,7465.294,0.919355
confessed,171,260,89,1175.049,0.657692
oppressed,170,255,85,1227.244,0.666667
bow,170,340,170,563.622,0.5
behold,170,720,550,105.12,0.236111
sung,169,376,207,441.798,0.449468
dew,169,237,68,1549.296,0.71308
brain,168,220,52,2044.01,0.763636
wrong,167,299,132,739.583,0.558528
despise,167,230,63,1659.126,0.726087
severe,167,237,70,1483.213,0.704641
gave,166,787,621,77.393,0.210928
wear,166,345,179,515.426,0.481159
long,166,1959,1793,-38.56,0.084737
law,165,352,187,485.549,0.46875
rays,165,319,154,611.024,0.517241
join,165,408,243,350.608,0.404412
roam,165,205,40,2637.442,0.804878
crowd,164,383,219,396.959,0.428198
began,164,343,179,508.011,0.478134
queen,163,527,364,197.171,0.309298
wait,163,364,201,438.161,0.447802
her,163,17284,17121,-93.682,0.009431
destroy,162,224,62,1633.981,0.723214
fail,161,231,70,1426.331,0.69697
taught,161,630,469,127.811,0.255556
adorn,160,289,129,723.097,0.553633
shown,160,190,30,3439.319,0.842105
design,160,222,62,1612.574,0.720721
hide,159,359,200,427.58,0.442897
joined,159,281,122,764.885,0.565836
speak,159,586,427,147.11,0.271331
best,158,710,552,89.95,0.222535
poor,158,1105,947,10.721,0.142986
bower,158,242,84,1148.242,0.652893
guest,157,223,66,1478.617,0.704036
serene,157,271,114,813.936,0.579336
bore,157,313,156,567.876,0.501597
hung,157,334,177,488.637,0.47006
receive,156,317,161,543.013,0.492114
word,156,427,271,282.011,0.36534
told,155,370,215,378.425,0.418919
adore,155,219,64,1507.21,0.707763
tree,155,288,133,673.394,0.538194
i,155,15594,15439,-93.338,0.00994
court,155,530,375,174.297,0.292453
he,155,11137,10982,-90.634,0.013918
form,154,1087,933,9.537,0.141674
dame,153,297,144,605.099,0.515152
brave,152,459,307,228.569,0.331155
powers,152,582,430,134.583,0.261168
one,152,3040,2888,-65.073,0.05
soil,152,241,89,1033.377,0.630705
bride,152,228,76,1227.244,0.666667
isle,151,266,115,771.365,0.567669
sincere,151,219,68,1373.632,0.689498
keep,151,561,410,144.407,0.269162
prepare,150,219,69,1342.657,0.684932
scorn,150,531,381,161.269,0.282486
trees,150,342,192,418.455,0.438596
spoke,149,475,326,203.312,0.313684
clay,149,188,39,2435.377,0.792553
tried,149,255,106,832.827,0.584314
stone,148,244,96,923.084,0.606557
read,148,443,295,232.936,0.334086
hate,148,355,207,374.474,0.416901
within,147,741,594,64.23,0.198381
displayed,147,180,33,2856.135,0.816667
charm,146,626,480,101.852,0.233227
bend,146,316,170,469.934,0.462025
may,146,3618,3472,-72.094,0.040354
child,146,503,357,171.397,0.290258
declare,145,187,42,2191.077,0.775401
plan,145,202,57,1588.162,0.717822
disgrace,145,193,48,1904.692,0.751295
look,145,887,742,29.684,0.163472
reigns,144,237,93,927.544,0.607595
been,144,798,654,46.119,0.180451
won,144,325,181,427.965,0.443077
stands,144,348,204,368.439,0.413793
heard,144,799,655,45.896,0.180225
stage,144,234,90,961.796,0.615385
cares,143,556,413,129.777,0.257194
storm,143,344,201,372.129,0.415698
snow,143,207,64,1382.781,0.690821
restore,142,190,48,1863.216,0.747368
new,142,1149,1007,-6.421,0.123586
resign,142,215,73,1190.882,0.660465
grew,142,309,167,464.278,0.459547
advance,142,197,55,1613.352,0.720812
so,141,5479,5338,-82.471,0.025735
joys,141,984,843,10.997,0.143293
cheek,141,412,271,245.279,0.342233
sin,141,339,198,372.579,0.415929
breeze,141,253,112,735.453,0.557312
expressed,140,169,29,3103.694,0.828402
slave,140,343,203,357.671,0.408163
boy,140,262,122,661.534,0.534351
mien,140,211,71,1208.551,0.663507
friends,140,745,605,53.565,0.187919
them,140,2392,2252,-58.745,0.058528
blame,140,224,84,1006.037,0.625
things,139,659,520,77.391,0.210926
betrayed,139,186,47,1862.627,0.747312
supply,138,184,46,1890.867,0.75
height,138,250,112,717.677,0.552
springs,138,313,175,423.314,0.440895
use,138,349,211,334.028,0.395415
ways,138,259,121,656.858,0.532819
endure,137,184,47,1834.388,0.744565
knows,137,429,292,211.357,0.319347
seas,137,405,268,239.24,0.338272
strains,137,341,204,345.668,0.40176
strong,137,616,479,89.804,0.222403
sighs,136,515,379,138.134,0.264078
kings,135,382,247,262.709,0.353403
coast,135,190,55,1528.891,0.710526
survey,134,186,52,1610.103,0.72043
pass,134,457,323,175.311,0.293217
blind,134,294,160,455.784,0.455782
spare,133,258,125,606.094,0.515504
explore,133,168,35,2421.765,0.791667
trade,133,204,71,1143.123,0.651961
blaze,133,241,108,717.239,0.551867
just,132,1116,984,-10.978,0.11828
try,132,309,177,394.905,0.427184
young,132,904,772,13.469,0.146018
dread,131,553,422,106.006,0.23689
less,131,653,522,66.541,0.200613
late,131,567,436,99.391,0.231041
road,130,199,69,1150.303,0.653266
hell,130,286,156,453.019,0.454545
gaze,130,268,138,525.151,0.485075
sustain,130,158,28,2981.103,0.822785
embrace,129,207,78,997.529,0.623188
frown,128,239,111,665.258,0.535565
choice,128,278,150,466.291,0.460432
waste,127,358,231,264.849,0.354749
alarms,127,147,20,4114.001,0.863946
hold,127,412,285,195.719,0.308252
in,126,28963,28837,-97.1,0.00435
agree,125,144,19,4265.936,0.868056
warm,124,520,396,107.801,0.238462
are,124,4868,4744,-82.654,0.025472
sublime,124,235,111,641.344,0.52766
slain,124,164,40,1957.229,0.756098
denied,123,191,68,1100.376,0.643979
out,123,1093,970,-15.85,0.112534
aim,122,208,86,841.418,0.586538
take,122,975,853,-5.086,0.125128
pressed,122,232,110,636.017,0.525862
write,122,327,205,294.936,0.373089
wide,122,558,436,85.692,0.218638
cast,122,418,296,173.52,0.291866
broke,122,245,123,558.227,0.497959
food,122,270,148,447.04,0.451852
dust,121,328,207,287.914,0.368902
loves,121,480,359,123.672,0.252083
burn,121,222,101,695.033,0.545045
weep,121,332,211,280.561,0.364458
worth,121,644,523,53.534,0.187888
distress,121,202,81,891.337,0.59901
trust,120,330,210,279.213,0.363636
verse,120,531,411,93.758,0.225989
cheer,119,310,191,313.461,0.383871
whole,118,475,357,119.349,0.248421
undone,118,143,25,3032.297,0.825175
grown,118,273,155,405.209,0.432234
decree,117,146,29,2577.372,0.80137
heat,117,243,126,516.221,0.481481
far,117,1368,1251,-37.935,0.085526
wrought,117,191,74,949.241,0.612565
lead,116,427,311,147.525,0.271663
sought,116,463,347,121.845,0.25054
feast,115,258,143,433.682,0.445736
smart,115,157,42,1717.061,0.732484
make,115,1426,1311,-41.788,0.080645
shone,115,283,168,354.265,0.40636
forth,114,708,594,27.362,0.161017
bold,114,437,323,134.22,0.26087
few,114,512,398,90.083,0.222656
glide,113,200,87,761.946,0.565
deed,113,215,102,635.189,0.525581
remove,113,134,21,3470.92,0.843284
arrayed,113,154,41,1729.008,0.733766
beam,113,264,151,396.618,0.42803
divide,113,166,53,1314.893,0.680723
ears,112,240,128,480.669,0.466667
bind,112,210,98,658.425,0.533333
disclose,112,138,26,2758.68,0.811594
streams,112,474,362,105.32,0.236287
paid,112,215,103,621.609,0.52093
supplies,112,149,37,1908.802,0.751678
close,112,533,421,76.546,0.210131
between,112,264,152,388.985,0.424242
admire,111,181,70,952.315,0.61326
strayed,111,141,30,2355.402,0.787234
glows,111,190,79,832.431,0.584211
retire,111,165,54,1264.112,0.672727
deplore,111,120,9,8084.674,0.925
secure,111,377,266,176.925,0.29443
shun,110,333,223,227.347,0.33033
descend,110,219,109,569.711,0.502283
bless,110,505,395,84.806,0.217822
liberty,110,378,268,172.382,0.291005
these,110,2856,2746,-73.416,0.038515
world,109,1447,1338,-45.938,0.075328
abode,109,147,38,1803.548,0.741497
fill,109,364,255,183.666,0.299451
glade,109,128,19,3707.096,0.851562
sword,107,330,223,218.42,0.324242
shows,107,299,192,269.831,0.35786
groves,107,377,270,162.991,0.28382
